time,N2_T,N_T,H_T,NH3_T,NH2_T,NH_T,N2,H2,NH3,N2_S,N_S,H_S,NH3_S,NH2_S,NH_S,N_S3
15.0,1.8938024499557397e-10,1.5563037832520368e-07,9.640218919721803e-08,1.3627475513804202e-11,1.256867789694071e-10,2.8264261853321332e-06,0.00025666924130070647,0.0007700032353824452,3.028052328916521e-07,2.8036811466716e-13,2.003115409061661e-09,2.0149675427867313e-09,4.2805772977313045e-12,5.780205417726432e-08,1.0220258331211368e-09,4.1977325696589064e-13
15.0000000001,1.89380468243183e-10,1.556303787949866e-07,9.640219024603527e-08,1.3627480649309292e-11,1.2568673946796186e-10,2.826426184802099e-06,0.00025666924130049625,0.000770003235382483,3.0280523287387384e-07,2.8037020173033417e-13,2.0031154165159098e-09,2.014967452992126e-09,4.280582931190259e-12,5.780205370446697e-08,1.0220263750888313e-09,4.1977316411914455e-13
15.0000000002,1.8938067991117567e-10,1.5563037926477058e-07,9.640219129493838e-08,1.3627485782916315e-11,1.2568669996473656e-10,2.8264261842720537e-06,0.0002566692413002968,0.0007700032353825208,3.028052328560973e-07,2.803730924047507e-13,2.0031154239701545e-09,2.0149673631975642e-09,4.280588564793757e-12,5.780205323167098e-08,1.0220269170670218e-09,4.1977307127901035e-13
15.000000002363645,1.894368204235538e-10,1.5563038942959246e-07,9.640221415655833e-08,1.3627610732722216e-11,1.2568581875542588e-10,2.8264261726438304e-06,0.00025666924121221557,0.0007700032353832539,3.0280523245440577e-07,3.126407466186849e-13,2.003115585379865e-09,2.014965420532141e-09,4.280713648758025e-12,5.7802043028115274e-08,1.0220388033021434e-09,4.1977116999272165e-13
15.000000002443825,1.8942491861890546e-10,1.5563038980625186e-07,9.640221497241512e-08,1.3627611685481665e-11,1.2568578549370538e-10,2.826426172208979e-06,0.00025666924122231155,0.0007700032353832967,3.0280523244313604e-07,3.1445871288580783e-13,2.003115591364242e-09,2.014965348544826e-09,4.2807183456396004e-12,5.780204265065702e-08,1.0220392476790903e-09,4.197711021948516e-13
15.000000002524004,1.8941379008985978e-10,1.5563039018290844e-07,9.640221579007646e-08,1.3627612841788e-11,1.2568575168110785e-10,2.8264261717707986e-06,0.0002566692412309571,0.0007700032353833387,3.0280523243159607e-07,3.1695378102953147e-13,2.00311559735136e-09,2.0149652765607482e-09,4.280723109205735e-12,5.780204227374622e-08,1.0220396953859543e-09,4.19771036641819e-13
15.000000002604184,1.8940544883661518e-10,1.5563039055956453e-07,9.640221661406569e-08,1.3627614731538145e-11,1.2568571727475997e-10,2.8264261713290667e-06,0.0002566692412360694,0.0007700032353833774,3.028052324192492e-07,3.201948675630272e-13,2.0031156033414427e-09,2.0149652045802345e-09,4.280727946205817e-12,5.780204189741797e-08,1.0220401466505879e-09,4.1977097348356775e-13
15.000000002684363,1.8939953408959254e-10,1.5563039093621907e-07,9.640221744357212e-08,1.3627617259743254e-11,1.2568568220268092e-10,2.8264261708833398e-06,0.0002566692412379244,0.0007700032353834134,3.0280523240618206e-07,3.242667225766443e-13,2.0031156093348476e-09,2.0149651326036876e-09,4.280732864990505e-12,5.78020415217456e-08,1.0220406019155436e-09,4.19770913019323e-13
15.000000002764542,1.8939541690855123e-10,1.5563039131287045e-07,9.640221827718265e-08,1.362762026084452e-11,1.256856463763574e-10,2.826426170433069e-06,0.0002566692412370484,0.0007700032353834473,3.028052323925501e-07,3.2927202827119476e-13,2.0031156153320117e-09,2.014965060631596e-09,4.280737875680845e-12,5.780204114682005e-08,1.02204106172799e-09,4.1977085561938305e-13
15.000000002844722,1.893925774368232e-10,1.556303916895171e-07,9.640221911372905e-08,1.3627623597968627e-11,1.2568560969126682e-10,2.826426169977611e-06,0.00025666924123383814,0.0007700032353834797,3.0280523237847805e-07,3.35333881013144e-13,2.003115621333453e-09,2.0149649886645454e-09,4.280742990405939e-12,5.780204077274783e-08,1.0220415267304879e-09,4.197708017181882e-13
15.000000002924901,1.8939063523369968e-10,1.5563039206615747e-07,9.640221995235618e-08,1.3627627170918056e-11,1.256855720246766e-10,2.8264261695162125e-06,0.0002566692412285276,0.0007700032353835112,3.0280523236405165e-07,3.425987251682329e-13,2.0031156273397815e-09,2.014964916703233e-09,4.280748223591269e-12,5.780204039965311e-08,1.022041997673858e-09,4.197707518229397e-13
15.00000000300508,1.8938932074115796e-10,1.5563039244279e-07,9.64022207924578e-08,1.3627630908653377e-11,1.256855332326142e-10,2.8264261690479964e-06,0.00025666924122121315,0.0007700032353835419,3.0280523234932487e-07,3.512398094339756e-13,2.003115633351713e-09,2.0149648447484835e-09,4.280753592299539e-12,5.780204002768087e-08,1.022042475436023e-09,4.197707065263591e-13
15.00000000308526,1.8938844475131883e-10,1.5563039281941305e-07,9.640222163360804e-08,1.3627634761256872e-11,1.256854931463291e-10,2.8264261685719342e-06,0.00025666924121187985,0.000770003235383572,3.028052323343276e-07,3.614612465706998e-13,2.0031156393700863e-09,2.0149647728012684e-09,4.280759116630947e-12,5.780203965700055e-08,1.0220429610439655e-09,4.1977066652155137e-13
15.00000000316544,1.8938787481681904e-10,1.5563039319602475e-07,9.640222247550836e-08,1.362763869373068e-11,1.256854515682296e-10,2.8264261680868245e-06,0.0002566692412004204,0.0007700032353836018,3.028052323190712e-07,3.7350277072686827e-13,2.0031156453958857e-09,2.01496470086273e-09,4.280764820192016e-12,5.780203928781021e-08,1.0220434556987611e-09,4.1977063261892363e-13
